Ticker,Company Name,Market Cap,Website
ATEN,"A10 Networks, Inc. Common Stock",1416836736,https://www.a10networks.com
ATHM,"Autohome Inc. American Depositary Shares, each representing one class A ordinary share.",3535684352,https://www.autohome.com.cn
ATI,Allegheny Technologies Incorporated Common Stock,3720731392,https://www.atimaterials.com
ATK,Alliant Techsystems Inc. Common Stock,,
ATLS,"Atlas Energy, L.P. Common Units",,
ATO,Atmos Energy Corporation Common Stock,15736159232,https://www.atmosenergy.com
ATR,"AptarGroup, Inc. Common Stock",6990179840,https://www.aptar.com
ATTO,Atento S.A. Ordinary Shares,76950000,https://www.atento.com
ATU,Actuant Corporation Common Stock,,
ATV,"Acorn International, Inc. ADS",,
ATW,"Atwood Oceanics, Inc. Common Stock",,
AU,AngloGold Ashanti Limited Common Stock,7637412864,https://www.anglogoldashanti.com
AUO,AU Optronics Corp American Depositary Shares,,
AUQ,AuRico Gold Inc. Ordinary Shares,,
AUY,Yamana Gold Inc. Ordinary Shares (Canada),5143258624,https://www.yamana.com
AV,Aviva plc Unsponsored ADR (UK),,
AVA,Avista Corporation Common Stock,2826481920,https://www.avistacorp.com
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),2629157888,https://www.grupoaval.com
AVB,"AvalonBay Communities, Inc. Common Stock",23549153280,https://www.avalonbay.com
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),697241088,https://www.american-vanguard.com
AVG,AVG Technologies N.V. Ordinary Shares,,
AVH,Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares),,
AVIV,"Aviv REIT, Inc. Common Stock",,
AVK,Advent Claymore Convertible Securities and Income Fund,412921408,https://www.guggenheimfunds.com/cef/fund/avk
AVOL,Avolon Holdings Limited Common Shares,,
AVP,"Avon Products, Inc. Common Stock",,
AVT,"Avnet, Inc. Common Stock",4485830656,https://www.avnet.com
AVV,Aviva plc Subordinated Capital Securities due 2041,,
AVX,AVX Corporation Common Stock,,
AVY,Avery Dennison Corporation Common Stock,15980378112,https://www.averydennison.com
AWF,Alliancebernstein Global High Income Fund,862296960,https://www.abglobal.com/abcom/product_center/3_vehicle/mf/closedend/alliancebernstein_global_high_income.htm
AWH,"Allied World Assurance Company Holdings, AG (Switzerland)",39244448,https://aspirawh.com
AWI,Armstrong World Industries Inc Common Stock,3646134016,https://www.armstrongceilings.com
AWK,"American Water Works Company, Inc. Common Stock",27459436544,https://www.amwater.com
AWP,Alpine Global Premier Properties Fund Alpine Global Premier Properties Fund Common Shares of Beneficial Interest,364692160,https://www.alpinecef.com/default.asp?P=856340&S=857563
AWR,American States Water Company Common Stock,3656324352,https://www.aswater.com
AXE,Anixter International Inc. Common Stock,,
AXL,"American Axle & Manufacturing Holdings, Inc. Common Stock",1158859776,https://www.aam.com
AXLL,Axiall Corporation Common Stock,,
AXP,American Express Company Common Stock,119227408384,https://www.americanexpress.com
AXR,AMREP Corporation Common Stock,82900984,https://amrepcorp.com
AXS,Axis Capital Holdings Limited Common Stock,4790544896,https://www.axiscapital.com
AXTA,Axalta Coating Systems Ltd. Common Shares,6108389376,https://www.axalta.com
AYI,Acuity Brands Inc (Holding Company),6669921792,https://www.acuitybrands.com
AYN,Alliance New York Municipal Income Fund Inc,,
AYR,Aircastle Limited Common Stock,,
AZN,Astrazeneca PLC Common Stock,204892667904,https://www.astrazeneca.com
AZO,"AutoZone, Inc. Common Stock",51928121344,https://www.autozone.com
AZZ,AZZ Incorporated Common Stock,1020907520,https://www.azz.com
B,"Barnes Group, Inc. Common Stock",2032179840,https://www.barnesgroupinc.com
BA,Boeing Company (The) Common Stock,102759178240,https://www.boeing.com
BABA,Alibaba Group Holding Limited American Depositary Shares each representing one Ordinary share,213456420864,https://www.alibabagroup.com
BAC,Bank of America Corporation Common Stock,307803258880,https://www.bankofamerica.com
BAC.A,"Bank of America Corporation Class A Warrant expiring January 16, 2019",,
BAC.B,Bank of America Corporation Class B Warrants expiring 10/28/2018,,
BAF,BlackRock Municipal Income Investment Quality Trust,,
BAH,Booz Allen Hamilton Holding Corporation Common Stock,14207810560,https://www.boozallen.com
BAK,Braskem SA ADR,4342539776,https://www.braskem.com.br
BALT,Baltic Trading Limited Common Stock,,
BAM,Brookfield Asset Management Inc. Common Stock,71666737152,https://www.brookfield.com
BANC,"Banc of California, Inc. Common Stock",1058910016,https://bancofcal.com
BAP,Credicorp Ltd. Common Stock,12239102976,https://www.grupocredicorp.com
BAS,"Basic Energy Services, Inc. Common Stock",,
BAX,Baxter International Inc. Common Stock,28189016064,https://www.baxter.com
BBD,Banco Bradesco Sa American Depositary Shares,27615160320,https://banco.bradesco
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),25788454912,https://banco.bradesco
BBF,BlackRock Municipal Income Investment Trust,,
BBG,Bill Barrett Corporation Common Stock,,
BBK,Blackrock Municipal Bond Trust,,
BBL,BHP Billiton plc Sponsored ADR,,
BBN,BlackRock Build America Bond Trust Common Shares of Beneficial Interest,1061036992,https://www.blackrock.com/investing/products/240174/blackrock-build-america-bond-trust-fund
BBT,BB&T Corporation Common Stock,,
